<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.02.10	14:00:00	1.21082	1.21116	1.20860	1.20914	3944	0	6
2023.02.10	15:00:00	1.20913	1.21218	1.20887	1.21117	6469	0	6
2023.02.10	16:00:00	1.21119	1.21299	1.21059	1.21126	7677	0	6
2023.02.10	17:00:00	1.21126	1.21214	1.20693	1.20753	10491	0	6
2023.02.10	18:00:00	1.20753	1.20876	1.20590	1.20592	5930	0	6
2023.02.10	19:00:00	1.20591	1.20651	1.20483	1.20486	4261	0	6
2023.02.10	20:00:00	1.20486	1.20631	1.20485	1.20528	2415	0	6
2023.02.10	21:00:00	1.20528	1.20551	1.20470	1.20487	3276	0	6
2023.02.10	22:00:00	1.20487	1.20579	1.20468	1.20538	3025	0	6
2023.02.10	23:00:00	1.20538	1.20597	1.20501	1.20542	2574	0	6
2023.02.13	00:00:00	1.20625	1.20625	1.20492	1.20504	338	0	22
2023.02.13	01:00:00	1.20505	1.20541	1.20458	1.20509	1380	0	8
2023.02.13	02:00:00	1.20508	1.20532	1.20401	1.20484	2873	0	7
2023.02.13	03:00:00	1.20484	1.20522	1.20331	1.20475	4370	0	6
2023.02.13	04:00:00	1.20478	1.20523	1.20395	1.20480	2618	0	6
2023.02.13	05:00:00	1.20480	1.20505	1.20411	1.20413	2237	0	6
2023.02.13	06:00:00	1.20410	1.20465	1.20407	1.20437	1590	0	7
2023.02.13	07:00:00	1.20435	1.20504	1.20407	1.20447	2374	0	6
2023.02.13	08:00:00	1.20448	1.20594	1.20430	1.20502	2539	0	6
2023.02.13	09:00:00	1.20501	1.20665	1.20470	1.20629	3754	0	6
2023.02.13	10:00:00	1.20630	1.20639	1.20428	1.20459	5168	0	6
2023.02.13	11:00:00	1.20460	1.20601	1.20315	1.20377	3907	0	6
2023.02.13	12:00:00	1.20377	1.20449	1.20304	1.20408	3806	0	6
2023.02.13	13:00:00	1.20411	1.20643	1.20411	1.20575	3751	0	6
2023.02.13	14:00:00	1.20576	1.21102	1.20576	1.21060	5160	0	6
2023.02.13	15:00:00	1.21058	1.21150	1.20823	1.20876	5558	0	6
2023.02.13	16:00:00	1.20877	1.21175	1.20807	1.21151	7073	0	6
2023.02.13	17:00:00	1.21153	1.21446	1.21133	1.21364	7524	0	6
2023.02.13	18:00:00	1.21362	1.21376	1.21203	1.21352	5245	0	6
2023.02.13	19:00:00	1.21352	1.21392	1.21296	1.21350	3265	0	6
2023.02.13	20:00:00	1.21351	1.21514	1.21240	1.21467	2823	0	6
2023.02.13	21:00:00	1.21468	1.21472	1.21310	1.21315	2547	0	6
2023.02.13	22:00:00	1.21316	1.21383	1.21288	1.21374	4637	0	6
2023.02.13	23:00:00	1.21373	1.21399	1.21361	1.21392	1187	0	6
2023.02.14	00:00:00	1.21291	1.21404	1.21230	1.21310	196	0	13
2023.02.14	01:00:00	1.21312	1.21517	1.21301	1.21499	3235	0	7
2023.02.14	02:00:00	1.21500	1.21513	1.21421	1.21476	2941	0	6
2023.02.14	03:00:00	1.21475	1.21511	1.21378	1.21402	2931	0	6
