<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.10	16:00:00	1.13798	1.13852	1.13596	1.13651	4290	0	6
2020.06.10	17:00:00	1.13655	1.13778	1.13447	1.13498	4951	0	6
2020.06.10	18:00:00	1.13499	1.13594	1.13419	1.13538	3777	0	6
2020.06.10	19:00:00	1.13538	1.13596	1.13451	1.13510	2492	0	6
2020.06.10	20:00:00	1.13512	1.13694	1.13492	1.13674	1986	0	6
2020.06.10	21:00:00	1.13673	1.14222	1.13222	1.13906	14311	0	6
2020.06.10	22:00:00	1.13907	1.14154	1.13611	1.13892	7774	0	6
2020.06.10	23:00:00	1.13892	1.13903	1.13644	1.13747	1860	0	6
2020.06.11	00:00:00	1.13722	1.13762	1.13722	1.13755	196	0	7
2020.06.11	01:00:00	1.13763	1.13806	1.13724	1.13772	571	0	6
2020.06.11	02:00:00	1.13770	1.13819	1.13637	1.13666	1380	0	6
2020.06.11	03:00:00	1.13667	1.13885	1.13657	1.13863	2569	0	6
2020.06.11	04:00:00	1.13864	1.13949	1.13816	1.13893	2209	0	6
2020.06.11	05:00:00	1.13894	1.13937	1.13853	1.13873	1428	0	6
2020.06.11	06:00:00	1.13874	1.13887	1.13560	1.13569	2485	0	6
2020.06.11	07:00:00	1.13570	1.13583	1.13434	1.13508	2908	0	6
2020.06.11	08:00:00	1.13508	1.13521	1.13249	1.13437	3511	0	6
2020.06.11	09:00:00	1.13440	1.13621	1.13395	1.13598	4556	0	6
2020.06.11	10:00:00	1.13599	1.13728	1.13430	1.13630	6252	0	6
2020.06.11	11:00:00	1.13628	1.13907	1.13582	1.13894	5604	0	6
2020.06.11	12:00:00	1.13894	1.14012	1.13814	1.13830	5326	0	6
2020.06.11	13:00:00	1.13831	1.13851	1.13700	1.13721	3332	0	6
2020.06.11	14:00:00	1.13724	1.13747	1.13531	1.13553	4256	0	6
2020.06.11	15:00:00	1.13553	1.13583	1.13361	1.13565	5752	0	6
